[19-Apr-2017 10:58:37 Asia/Shanghai] PHP Warning:  file_put_contents(D:/phpStudy/WWW/2017/imbuilder/im-builder_admin/configs/db.ini.php): failed to open stream: No such file or directory in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Utils\File.php on line 75
[19-Apr-2017 10:58:37 Asia/Shanghai] PHP Warning:  Cannot use a scalar value as an array in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Db\Pdo.php on line 108
[19-Apr-2017 11:00:15 Asia/Shanghai] PHP Warning:  file_put_contents(D:/phpStudy/WWW/2017/imbuilder/imbuilder_admin/configs/db.ini.php): failed to open stream: No such file or directory in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Utils\File.php on line 75
[19-Apr-2017 11:00:15 Asia/Shanghai] PHP Notice:  Constant TABEL_PREFIX already defined in D:\phpStudy\WWW\2017\imbuilder\im\configs\db_10001.ini.php on line 2
[19-Apr-2017 11:00:15 Asia/Shanghai] PHP Notice:  Constant TABEL_PREFIX already defined in D:\phpStudy\WWW\2017\imbuilder\im\configs\db_10001.ini.php on line 2
[19-Apr-2017 11:00:36 Asia/Shanghai] PHP Warning:  include_once(db_10001.ini.php): failed to open stream: No such file or directory in D:\phpStudy\WWW\2017\imbuilder\im\configs\config.ini.php on line 317
[19-Apr-2017 11:00:36 Asia/Shanghai] PHP Warning:  include_once(): Failed opening 'db_10001.ini.php' for inclusion (include_path='D:/phpStudy/WWW/2017/imbuilder/libraries;D:/phpStudy/WWW/2017/imbuilder/install/models') in D:\phpStudy\WWW\2017\imbuilder\im\configs\config.ini.php on line 317
[19-Apr-2017 11:00:36 Asia/Shanghai] PHP Warning:  file_put_contents(D:/phpStudy/WWW/2017/imbuilder/imbuilder_admin/configs/db.ini.php): failed to open stream: No such file or directory in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Utils\File.php on line 75
[19-Apr-2017 11:00:36 Asia/Shanghai] PHP Notice:  Constant TABEL_PREFIX already defined in D:\phpStudy\WWW\2017\imbuilder\im\configs\db_10001.ini.php on line 2
[19-Apr-2017 11:00:36 Asia/Shanghai] PHP Notice:  Constant TABEL_PREFIX already defined in D:\phpStudy\WWW\2017\imbuilder\im\configs\db_10001.ini.php on line 2
[19-Apr-2017 11:01:35 Asia/Shanghai] PHP Notice:  Constant TABEL_PREFIX already defined in D:\phpStudy\WWW\2017\imbuilder\im\configs\db_10001.ini.php on line 2
[19-Apr-2017 11:01:35 Asia/Shanghai] PHP Warning:  file_put_contents(D:/phpStudy/WWW/2017/imbuilder/imbuilder_admin/configs/db.ini.php): failed to open stream: No such file or directory in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Utils\File.php on line 75
